1,"although life or something like it is very much in the mold of feel good movies , the cast and director stephen herek 's polished direction pour delightfully piquant wine from aged bottles"
2,'this movie sucks '
1,"tells a fascinating , compelling story"
2,"this kind of dark comedy requires a delicate , surgical touch but director danny devito and screenwriter adam resnick \( remember cabin boy \? \) just pound away"
1,"the dramatic crisis does n't always succeed in its quest to be taken seriously , but huppert 's volatile performance makes for a riveting movie experience"
1,an engrossing and infectiously enthusiastic documentary
1,"unfolds in a low key , organic way that encourages you to accept it as life and go with its flow"
2,it 's deep sixed by a compulsion to catalog every bodily fluids gag in there 's something about mary and devise a parallel clone gag
1,a soul stirring documentary about the israeli palestinian conflict as revealed through the eyes of some children who remain curious about each other against all odds
2,"despite terrific special effects and funnier gags , harry potter and the chamber of secrets finds a way to make j k rowling 's marvelous series into a deadly bore"
2,"unless you are in dire need of a diesel fix , there is no real reason to see it wait for video and then do n't rent it"
2,a movie that ca n't get sufficient distance from leroy 's delusions to escape their maudlin influence
1,fessenden 's narrative is just as much about the ownership and redefinition of myth as it is about a domestic unit finding their way to joy
2,"the tale of tok \( andy lau \) , a sleek sociopath on the trail of o \( takashi sorimachi \) , the most legendary of asian hitmen , is too scattershot to take hold"
2,the most surprising thing about this film is that they are actually releasing it into theaters
2,essentially a collection of bits and they 're all naughty
1,as simple and innocent a movie as you can imagine this is a movie you can trust
1,"yeah , these flicks are just that damn good is n't it great \?"
2,"two fairly dull contrasting and interlocking stories about miserable scandinavian settlers in 18th century canada , and yuppie sailboaters in the here and now"
1,"not for the prurient or squeamish , it 's a daring if overlong examination of an idolized culture , self loathing and sexual politics"
2,zigzag might have been richer and more observant if it were less densely plotted
1,"while obviously aimed at kids , the country bears should keep parents amused with its low groan to guffaw ratio"
1,"harsh , effective documentary on life in the israeli occupied palestinian territories"
1,a coming of age movie that hollywood would n't have the guts to make
1,"the year 's happiest surprise , a movie that deals with a real subject in an always surprising way"
2,"the story , touching though it is , does not quite have enough emotional resonance or variety of incident to sustain a feature , and even at 85 minutes it feels a bit long"
1,"here , adrian lyne comes as close to profundity as he is likely to get"
2,"in a strange way , egoyan has done too much he 's worked too hard on this movie"
1,"it may not be as cutting , as witty or as true as back in the glory days of weekend and two or three things i know about her , but who else engaged in filmmaking today is so cognizant of the cultural and moral issues involved in the process \?"
1,"light , silly , photographed with colour and depth , and rather a good time"
2,the movie fails to portray its literarily talented and notorious subject as anything much more than a dirty old man
1,exhilarating but blatantly biased
2,witless and utterly pointless
1,provide s nail biting suspense and credible characters without relying on technology of the moment technique or pretentious dialogue
1,tackles the difficult subject of grief and loss with such life embracing spirit that the theme does n't drag an audience down
1,"if there 's one big point to promises , it 's that nothing can change while physical and psychological barriers keep the sides from speaking even one word to each other"
2,"the first question to ask about bad company is why anthony hopkins is in it we assume he had a bad run in the market or a costly divorce , because there is no earthly reason other than money why this distinguished actor would stoop so low"
1,"even during the climactic hourlong cricket match , boredom never takes hold"
1,"like the full monty , this is sure to raise audience 's spirits and leave them singing long after the credits roll"
2,there 's not a comedic moment in this romantic comedy
1,"there is a fabric of complex ideas here , and feelings that profoundly deepen them"
2,"the movie is loaded with good intentions , but in his zeal to squeeze the action and our emotions into the all too familiar dramatic arc of the holocaust escape story , minac drains his movie of all individuality"
1,a mess when it comes to the characters and writing but works its way underneath the skin like few movies have in recent memory
2,"we never feel anything for these characters , and as a result the film is basically just a curiosity"
2,"overwrought , melodramatic bodice ripper"
2,"even if you 're an elvis person , you wo n't find anything to get excited about on this dvd"
2,"the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125 year divide"
1,it 's quaid who anchors the film with his effortless performance and that trademark grin of his so perfect for a ballplayer
2,"it puts washington , as honest working man john q archibald , on a pedestal , then keeps lifting the pedestal higher"
1,the ya ya 's have many secrets and one is the books are better translating complex characters from novels to the big screen is an impossible task but they are true to the essence of what it is to be ya ya
